1	There	_	EX	EX	_	2	expl	_	_
1	Believe	_	NNP	NNP	_	0	null	_	_
2	me	_	PRP	PRP	_	1	dep	_	_
3	,	_	,	,	_	7	punct	_	_
4	I	_	PRP	PRP	_	7	nsubj	_	_
5	'm	_	VBP	VBP	_	7	aux	_	_
6	not	_	RB	RB	_	7	neg	_	_
7	trying	_	VBG	VBG	_	1	parataxis	_	_
8	to	_	TO	TO	_	9	aux	_	_
9	blow	_	VB	VB	_	7	xcomp	_	_
10	anything	_	NN	NN	_	9	dobj	_	_
11	up	_	RB	RB	_	9	advmod	_	_
12	.	_	.	.	_	1	punct	_	_

1	If	_	IN	IN	_	3	mark	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	have	_	VBP	VBP	_	25	advcl	_	_
4	any	_	DT	DT	_	5	det	_	_
5	hope	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	getting	_	VBG	VBG	_	6	pcomp	_	_
8	out	_	IN	IN	_	7	prep	_	_
9	of	_	IN	IN	_	8	dep	_	_
10	that	_	DT	DT	_	11	det	_	_
11	garage	_	NN	NN	_	9	pobj	_	_
12	and	_	CC	CC	_	7	cc	_	_
13	getting	_	VBG	VBG	_	7	conj	_	_
14	back	_	RB	RB	_	13	advmod	_	_
15	in	_	IN	IN	_	13	prep	_	_
16	our	_	PRP$	PRP$	_	17	poss	_	_
17	lives	_	NNS	NNS	_	15	pobj	_	_
18	and	_	CC	CC	_	7	cc	_	_
19	keeping	_	VBG	VBG	_	7	conj	_	_
20	us	_	PRP	PRP	_	19	dobj	_	_
21	together	_	RB	RB	_	19	advmod	_	_
22	,	_	,	,	_	25	punct	_	_
23	you	_	PRP	PRP	_	25	nsubj	_	_
24	better	_	RB	RB	_	25	advmod	_	_
25	find	_	VB	VB	_	0	null	_	_
26	out	_	RP	RP	_	25	prt	_	_
27	.	_	.	.	_	25	punct	_	_

1	Show	_	NNP	NNP	_	2	nsubj	_	_
2	me	_	PRP	PRP	_	0	null	_	_
3	the	_	DT	DT	_	4	det	_	_
4	warrant	_	NN	NN	_	2	dobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	Oh	_	UH	UH	_	5	dep	_	_
2	,	_	,	,	_	5	punct	_	_
3	that	_	WDT	WDT	_	5	nsubj	_	_
4	's	_	VBZ	VBZ	_	5	cop	_	_
5	right	_	NN	NN	_	0	null	_	_
6	.	_	.	.	_	5	punct	_	_

1	You	_	PRP	PRP	_	4	nsubj	_	_
2	do	_	VBP	VBP	_	4	aux	_	_
3	n't	_	RB	RB	_	4	neg	_	_
4	have	_	VB	VB	_	0	null	_	_
5	one	_	CD	CD	_	4	dobj	_	_
6	because	_	IN	IN	_	10	mark	_	_
7	my	_	PRP$	PRP$	_	8	poss	_	_
8	client	_	NN	NN	_	10	nsubjpass	_	_
9	is	_	VBZ	VBZ	_	10	auxpass	_	_
10	protected	_	VBN	VBN	_	4	advcl	_	_
11	.	_	.	.	_	4	punct	_	_

1	We	_	PRP	PRP	_	5	nsubj	_	_
2	're	_	VBP	VBP	_	5	cop	_	_
3	all	_	DT	DT	_	5	det	_	_
4	just	_	RB	RB	_	5	advmod	_	_
5	friends	_	NNS	NNS	_	0	null	_	_
6	here	_	RB	RB	_	5	advmod	_	_
7	,	_	,	,	_	5	punct	_	_
8	looking	_	VBG	VBG	_	5	xcomp	_	_
9	for	_	IN	IN	_	8	prep	_	_
10	a	_	DT	DT	_	11	det	_	_
11	lead	_	NN	NN	_	9	pobj	_	_
12	on	_	IN	IN	_	11	prep	_	_
13	where	_	WRB	WRB	_	15	advmod	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	find	_	VB	VB	_	12	pcomp	_	_
16	our	_	PRP$	PRP$	_	18	poss	_	_
17	mutual	_	JJ	JJ	_	18	amod	_	_
18	friend	_	NN	NN	_	15	dep	_	_
19	,	_	,	,	_	18	punct	_	_

1	James	_	NNP	NNP	_	2	nn	_	_
2	Beckett	_	NNP	NNP	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	null	_	_
3	,	_	,	,	_	2	punct	_	_
4	a	_	DT	DT	_	6	det	_	_
5	phone	_	NN	NN	_	6	nn	_	_
6	number	_	NN	NN	_	2	dobj	_	_
7	,	_	,	,	_	6	punct	_	_
8	a	_	DT	DT	_	10	det	_	_
9	forwarding	_	VBG	VBG	_	10	amod	_	_
10	address	_	NN	NN	_	6	appos	_	_
11	.	_	.	.	_	2	punct	_	_

1	Why	_	WRB	WRB	_	2	advmod	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	it	_	PRP	PRP	_	4	nsubj	_	_
4	got	_	VBD	VBD	_	2	ccomp	_	_
5	to	_	TO	TO	_	8	aux	_	_
6	be	_	VB	VB	_	8	cop	_	_
7	so	_	RB	RB	_	8	advmod	_	_
8	adversarial	_	JJ	JJ	_	4	xcomp	_	_
9	?	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	work	_	VBP	VBP	_	0	null	_	_
3	at	_	IN	IN	_	2	prep	_	_
4	Hank	_	NNP	NNP	_	5	nn	_	_
5	Voight	_	NNP	NNP	_	7	poss	_	_
6	's	_	POS	POS	_	5	possessive	_	_
7	district	_	NN	NN	_	3	pobj	_	_
8	?	_	.	.	_	2	punct	_	_

1	That	_	DT	DT	_	2	nsubj	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	right	_	RB	RB	_	2	advmod	_	_
4	.	_	.	.	_	2	punct	_	_

1	That	_	DT	DT	_	2	nsubj	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	why	_	WRB	WRB	_	6	advmod	_	_
4	it	_	PRP	PRP	_	6	nsubj	_	_
5	's	_	VBZ	VBZ	_	6	cop	_	_
6	adversarial	_	JJ	JJ	_	2	advcl	_	_
7	.	_	.	.	_	2	punct	_	_

1	Shelby	_	NNP	NNP	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	honey	_	NN	NN	_	1	appos	_	_
4	.	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	said	_	VBD	VBD	_	0	null	_	_
3	no	_	DT	DT	_	4	det	_	_
4	interruptions	_	NNS	NNS	_	2	nsubj	_	_
5	.	_	.	.	_	2	punct	_	_

1	That	_	DT	DT	_	2	nsubj	_	_
2	means	_	VBZ	VBZ	_	0	null	_	_
3	when	_	WRB	WRB	_	2	dep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	door	_	NN	NN	_	7	poss	_	_
6	's	_	POS	POS	_	5	possessive	_	_
7	shut	_	VBN	VBN	_	3	dep	_	_
8	,	_	,	,	_	11	punct	_	_
9	it	_	PRP	PRP	_	11	nsubjpass	_	_
10	stays	_	VBZ	VBZ	_	11	auxpass	_	_
11	shut	_	VBN	VBN	_	7	parataxis	_	_
12	.	_	.	.	_	2	punct	_	_

1	Where	_	WRB	WRB	_	0	null	_	_
2	are	_	VBP	VBP	_	1	dep	_	_
3	we	_	PRP	PRP	_	2	nsubj	_	_
4	at	_	IN	IN	_	2	dep	_	_
5	?	_	.	.	_	1	punct	_	_

1	Hank	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Yeah	_	NNP	NNP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	think	_	VBP	VBP	_	0	null	_	_
3	we	_	PRP	PRP	_	4	nsubj	_	_
4	found	_	VBD	VBD	_	2	ccomp	_	_
5	a	_	DT	DT	_	6	det	_	_
6	way	_	NN	NN	_	4	dobj	_	_
7	to	_	TO	TO	_	8	aux	_	_
8	get	_	VB	VB	_	6	infmod	_	_
9	to	_	TO	TO	_	8	prep	_	_
10	Beckett	_	NNP	NNP	_	9	pobj	_	_
11	.	_	.	.	_	2	punct	_	_

1	Well	_	UH	UH	_	3	ccomp	_	_
2	,	_	,	,	_	3	punct	_	_
3	let	_	VBD	VBD	_	0	null	_	_
4	's	_	PRP	PRP	_	5	nsubj	_	_
5	have	_	VB	VB	_	3	ccomp	_	_
6	it	_	PRP	PRP	_	5	dobj	_	_
7	.	_	.	.	_	3	punct	_	_

1	His	_	PRP$	PRP$	_	2	poss	_	_
2	lawyer	_	NN	NN	_	4	poss	_	_
3	's	_	POS	POS	_	2	possessive	_	_
4	secretary	_	NN	NN	_	5	nsubj	_	_
5	gave	_	VBD	VBD	_	0	null	_	_
6	us	_	PRP	PRP	_	5	iobj	_	_
7	the	_	DT	DT	_	9	det	_	_
8	phone	_	NN	NN	_	9	nn	_	_
9	number	_	NN	NN	_	5	dobj	_	_
10	Beckett	_	NNP	NNP	_	11	nsubj	_	_
11	used	_	VBD	VBD	_	9	rcmod	_	_
12	to	_	TO	TO	_	13	aux	_	_
13	call	_	VB	VB	_	11	xcomp	_	_
14	the	_	DT	DT	_	16	det	_	_
15	law	_	NN	NN	_	16	nn	_	_
16	office	_	NN	NN	_	13	dobj	_	_

1	after	_	IN	IN	_	0	null	_	_
2	getting	_	VBG	VBG	_	1	pcomp	_	_
3	out	_	RP	RP	_	2	prt	_	_
4	.	_	.	.	_	1	punct	_	_

1	And	_	CC	CC	_	3	cc	_	_
2	we	_	PRP	PRP	_	3	nsubj	_	_
3	pinged	_	VBD	VBD	_	0	null	_	_
4	the	_	DT	DT	_	5	det	_	_
5	phone	_	NN	NN	_	3	dobj	_	_
6	.	_	.	.	_	3	punct	_	_

1	It	_	PRP	PRP	_	3	nsubjpass	_	_
2	's	_	VBZ	VBZ	_	3	auxpass	_	_
3	gone	_	VBN	VBN	_	0	null	_	_
4	dark	_	JJ	JJ	_	3	acomp	_	_
5	.	_	.	.	_	3	punct	_	_

1	Right	_	RB	RB	_	5	advmod	_	_
2	,	_	,	,	_	5	punct	_	_
3	but	_	CC	CC	_	5	cc	_	_
4	we	_	PRP	PRP	_	5	nsubj	_	_
5	checked	_	VBD	VBD	_	0	null	_	_
6	where	_	WRB	WRB	_	7	dep	_	_
7	and	_	CC	CC	_	5	cc	_	_
8	when	_	WRB	WRB	_	12	advmod	_	_
9	the	_	DT	DT	_	10	det	_	_
10	phone	_	NN	NN	_	12	nsubjpass	_	_
11	was	_	VBD	VBD	_	12	auxpass	_	_
12	purchased	_	VBN	VBN	_	5	conj	_	_
13	.	_	.	.	_	5	punct	_	_

1	It	_	PRP	PRP	_	3	nsubjpass	_	_
2	was	_	VBD	VBD	_	3	auxpass	_	_
3	bought	_	VBN	VBN	_	0	null	_	_
4	in	_	IN	IN	_	3	prep	_	_
5	a	_	DT	DT	_	7	det	_	_
6	convenience	_	NN	NN	_	7	nn	_	_
7	store	_	NN	NN	_	4	pobj	_	_
8	on	_	IN	IN	_	7	prep	_	_
9	Highway	_	NNP	NNP	_	8	pobj	_	_
10	94	_	CD	CD	_	9	num	_	_
11	along	_	IN	IN	_	3	prep	_	_
12	with	_	IN	IN	_	11	dep	_	_
13	four	_	CD	CD	_	16	num	_	_
14	other	_	JJ	JJ	_	16	amod	_	_
15	drop	_	NN	NN	_	16	nn	_	_
16	phones	_	NNS	NNS	_	12	pobj	_	_
17	.	_	.	.	_	3	punct	_	_

1	What	_	WP	WP	_	2	attr	_	_
2	are	_	VBP	VBP	_	0	null	_	_
3	the	_	DT	DT	_	4	det	_	_
4	odds	_	NNS	NNS	_	2	nsubj	_	_
5	that	_	IN	IN	_	10	complm	_	_
6	five	_	CD	CD	_	7	num	_	_
7	phones	_	NNS	NNS	_	10	nsubjpass	_	_
8	would	_	MD	MD	_	10	aux	_	_
9	be	_	VB	VB	_	10	auxpass	_	_
10	purchased	_	VBN	VBN	_	4	ccomp	_	_
11	by	_	IN	IN	_	10	prep	_	_
12	different	_	JJ	JJ	_	13	amod	_	_
13	people	_	NNS	NNS	_	11	pobj	_	_
14	in	_	IN	IN	_	10	prep	_	_
15	the	_	DT	DT	_	17	det	_	_
16	same	_	JJ	JJ	_	17	amod	_	_
17	hour	_	NN	NN	_	14	pobj	_	_
18	?	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	pulled	_	VBD	VBD	_	0	null	_	_
3	the	_	DT	DT	_	5	det	_	_
4	serial	_	JJ	JJ	_	5	amod	_	_
5	numbers	_	NNS	NNS	_	2	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	all	_	DT	DT	_	9	det	_	_
8	five	_	CD	CD	_	9	num	_	_
9	phones	_	NNS	NNS	_	6	pobj	_	_
10	.	_	.	.	_	2	punct	_	_

1	One	_	CD	CD	_	5	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	them	_	PRP	PRP	_	2	pobj	_	_
4	is	_	VBZ	VBZ	_	5	cop	_	_
5	active	_	JJ	JJ	_	0	null	_	_
6	right	_	RB	RB	_	7	advmod	_	_
7	now	_	RB	RB	_	5	advmod	_	_
8	.	_	.	.	_	5	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	null	_	_
3	an	_	DT	DT	_	4	det	_	_
4	address	_	NN	NN	_	2	dobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	right	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Let	_	VB	VB	_	0	null	_	_
2	's	_	PRP	PRP	_	3	nsubj	_	_
3	go	_	VB	VB	_	1	ccomp	_	_
4	.	_	.	.	_	1	punct	_	_

1	This	_	DT	DT	_	4	nsubj	_	_
2	is	_	VBZ	VBZ	_	4	cop	_	_
3	the	_	DT	DT	_	4	det	_	_
4	address	_	NN	NN	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	That	_	DT	DT	_	3	nsubj	_	_
2	's	_	VBZ	VBZ	_	3	cop	_	_
3	him	_	PRP	PRP	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Move	_	NNP	NNP	_	0	null	_	_
2	in	_	IN	IN	_	1	dep	_	_
3	.	_	.	.	_	1	punct	_	_

1	Chicago	_	NNP	NNP	_	2	nn	_	_
2	PD	_	NNP	NNP	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Show	_	NNP	NNP	_	2	nsubj	_	_
2	me	_	PRP	PRP	_	0	null	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	hands	_	NNS	NNS	_	2	dobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	Show	_	NNP	NNP	_	2	nsubj	_	_
2	me	_	PRP	PRP	_	0	null	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	hands	_	NNS	NNS	_	2	dobj	_	_
5	!	_	.	.	_	2	punct	_	_

1	Step	_	NN	NN	_	0	null	_	_
2	out	_	IN	IN	_	1	prep	_	_
3	of	_	IN	IN	_	2	dep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	car	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	1	punct	_	_

1	Get	_	VB	VB	_	0	null	_	_
2	out	_	IN	IN	_	1	prep	_	_
3	of	_	IN	IN	_	2	dep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	car	_	NN	NN	_	3	pobj	_	_
6	slowly	_	RB	RB	_	3	dep	_	_
7	.	_	.	.	_	1	punct	_	_

1	Turn	_	NNP	NNP	_	0	null	_	_
2	around	_	RB	RB	_	1	advmod	_	_
3	.	_	.	.	_	1	punct	_	_

1	Walk	_	NNP	NNP	_	2	nn	_	_
2	backwards	_	NNS	NNS	_	4	nsubj	_	_
3	towards	_	RB	RB	_	4	advmod	_	_
4	me	_	PRP	PRP	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	Keep	_	NNP	NNP	_	2	nn	_	_
2	walking	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Keep	_	NNP	NNP	_	2	nn	_	_
2	walking	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Keep	_	NNP	NNP	_	2	nn	_	_
2	walking	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Sit	_	NNP	NNP	_	0	null	_	_
2	down	_	RB	RB	_	1	advmod	_	_
3	.	_	.	.	_	1	punct	_	_

1	Do	_	VBP	VBP	_	3	aux	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	move	_	VB	VB	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Come	_	NNP	NNP	_	4	nn	_	_
2	on	_	RB	RB	_	4	advmod	_	_
3	,	_	,	,	_	4	punct	_	_
4	Beckett	_	NNP	NNP	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	Get	_	VB	VB	_	0	null	_	_
2	out	_	IN	IN	_	1	prep	_	_
3	of	_	IN	IN	_	2	dep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	car	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	1	punct	_	_

1	Move	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Open	_	NNP	NNP	_	3	nsubj	_	_
2	the	_	DT	DT	_	3	det	_	_
3	door	_	NN	NN	_	0	null	_	_
4	slowly	_	RB	RB	_	3	advmod	_	_
5	.	_	.	.	_	3	punct	_	_

1	Put	_	VB	VB	_	0	null	_	_
2	your	_	PRP$	PRP$	_	3	poss	_	_
3	hands	_	NNS	NNS	_	1	dobj	_	_
4	out	_	IN	IN	_	1	prep	_	_
5	of	_	IN	IN	_	4	dep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	vehicle	_	NN	NN	_	5	pobj	_	_
8	.	_	.	.	_	1	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	in	_	IN	IN	_	2	prep	_	_
4	there	_	RB	RB	_	3	pobj	_	_
5	?	_	.	.	_	2	punct	_	_

1	Slow	_	VB	VB	_	5	ccomp	_	_
2	it	_	PRP	PRP	_	1	dobj	_	_
3	down	_	RP	RP	_	1	prt	_	_
4	,	_	,	,	_	5	punct	_	_
5	Hank	_	NNP	NNP	_	0	null	_	_
6	.	_	.	.	_	5	punct	_	_

1	What	_	WP	WP	_	5	dobj	_	_
2	,	_	,	,	_	5	punct	_	_
3	are	_	VBP	VBP	_	5	aux	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	kidding	_	VBG	VBG	_	0	null	_	_
6	me	_	PRP	PRP	_	5	dobj	_	_
7	?	_	.	.	_	5	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	came	_	VBD	VBD	_	0	null	_	_
3	after	_	IN	IN	_	2	prep	_	_
4	my	_	PRP$	PRP$	_	5	poss	_	_
5	family	_	NN	NN	_	3	pobj	_	_
6	,	_	,	,	_	5	punct	_	_
7	Alvin	_	NNP	NNP	_	5	appos	_	_
8	!	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	null	_	_
3	,	_	,	,	_	5	punct	_	_
4	I	_	PRP	PRP	_	5	nsubj	_	_
5	know	_	VBP	VBP	_	2	ccomp	_	_
6	,	_	,	,	_	2	punct	_	_
7	but	_	CC	CC	_	2	cc	_	_
8	the	_	DT	DT	_	10	det	_	_
9	big	_	JJ	JJ	_	10	amod	_	_
10	eye	_	NN	NN	_	12	nsubj	_	_
11	's	_	VBZ	VBZ	_	12	aux	_	_
12	watching	_	VBG	VBG	_	2	conj	_	_
13	you	_	PRP	PRP	_	12	dobj	_	_
14	on	_	IN	IN	_	12	prep	_	_
15	this	_	DT	DT	_	16	dep	_	_
16	one	_	CD	CD	_	14	pobj	_	_
17	.	_	.	.	_	2	punct	_	_

1	So	_	IN	IN	_	3	dep	_	_
2	anything	_	NN	NN	_	3	nsubj	_	_
3	goes	_	VBZ	VBZ	_	0	null	_	_
4	sideways	_	RB	RB	_	3	advmod	_	_
5	and	_	CC	CC	_	3	cc	_	_
6	it	_	PRP	PRP	_	7	nsubj	_	_
7	's	_	VBZ	VBZ	_	3	conj	_	_
8	over	_	RP	RP	_	7	prt	_	_
9	for	_	IN	IN	_	7	prep	_	_
10	you	_	PRP	PRP	_	9	pobj	_	_
11	.	_	.	.	_	3	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	right	_	NN	NN	_	0	null	_	_
3	?	_	.	.	_	2	punct	_	_

1	Okay	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	right	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	Lot	_	NN	NN	_	4	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	people	_	NNS	NNS	_	2	pobj	_	_
4	sit	_	VBP	VBP	_	0	null	_	_
5	in	_	IN	IN	_	4	prep	_	_
6	that	_	DT	DT	_	7	det	_	_
7	chair	_	NN	NN	_	5	pobj	_	_
8	and	_	CC	CC	_	4	cc	_	_
9	think	_	VB	VB	_	4	conj	_	_
10	how	_	WRB	WRB	_	11	advmod	_	_
11	unlucky	_	JJ	JJ	_	13	dep	_	_
12	they	_	PRP	PRP	_	13	nsubj	_	_
13	are	_	VBP	VBP	_	9	ccomp	_	_
14	to	_	TO	TO	_	15	aux	_	_
15	be	_	VB	VB	_	13	xcomp	_	_
16	here	_	RB	RB	_	15	advmod	_	_
17	.	_	.	.	_	4	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	want	_	VBP	VBP	_	0	null	_	_
3	you	_	PRP	PRP	_	5	nsubj	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	know	_	VB	VB	_	2	xcomp	_	_
6	if	_	IN	IN	_	8	mark	_	_
7	I	_	PRP	PRP	_	8	nsubj	_	_
8	had	_	VBD	VBD	_	17	advcl	_	_
9	it	_	PRP	PRP	_	11	dep	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	way	_	NN	NN	_	8	dobj	_	_
12	,	_	,	,	_	17	punct	_	_
13	you	_	PRP	PRP	_	17	nsubj	_	_
14	would	_	MD	MD	_	17	aux	_	_
15	n't	_	RB	RB	_	17	neg	_	_
16	have	_	VB	VB	_	17	aux	_	_
17	made	_	VBN	VBN	_	5	ccomp	_	_
18	it	_	PRP	PRP	_	17	dobj	_	_
19	to	_	TO	TO	_	17	prep	_	_
20	the	_	DT	DT	_	21	det	_	_
21	District	_	NNP	NNP	_	19	pobj	_	_
22	.	_	.	.	_	2	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	null	_	_
3	what	_	WP	WP	_	5	dobj	_	_
4	you	_	PRP	PRP	_	5	nsubj	_	_
5	did.	_	VBP	VBP	_	2	ccomp	_	_
6	Yeah	_	UH	UH	_	5	dep	_	_
7	,	_	,	,	_	2	punct	_	_
8	Yeah	_	UH	UH	_	2	dep	_	_
9	,	_	,	,	_	2	punct	_	_
10	and	_	CC	CC	_	2	cc	_	_
11	enjoyed	_	VBD	VBD	_	2	conj	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	money	_	NN	NN	_	11	dobj	_	_
14	in	_	IN	IN	_	11	prep	_	_
15	the	_	DT	DT	_	16	det	_	_
16	process	_	NN	NN	_	14	pobj	_	_
17	.	_	.	.	_	2	punct	_	_

1	Hank	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	had	_	VBD	VBD	_	0	null	_	_
3	15	_	CD	CD	_	4	num	_	_
4	years	_	NNS	NNS	_	2	tmod	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	think	_	VB	VB	_	2	xcomp	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	that	_	WDT	WDT	_	7	pobj	_	_
9	.	_	.	.	_	2	punct	_	_

1	Police	_	NNP	NNP	_	2	nn	_	_
2	corruption	_	NN	NN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	That	_	DT	DT	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	cop	_	_
3	real	_	JJ	JJ	_	4	amod	_	_
4	original	_	NN	NN	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	What	_	WP	WP	_	2	det	_	_
2	money	_	NN	NN	_	0	null	_	_
3	?	_	.	.	_	2	punct	_	_

1	Hm	_	NNP	NNP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	Oh	_	UH	UH	_	4	dep	_	_
2	,	_	,	,	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	see	_	VBP	VBP	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	One	_	CD	CD	_	4	nsubj	_	_
2	of	_	IN	IN	_	1	prep	_	_
3	you	_	PRP	PRP	_	2	pobj	_	_
4	dirty	_	VBP	VBP	_	0	null	_	_
5	Cicero	_	NNP	NNP	_	6	nn	_	_
6	cops	_	NNS	NNS	_	7	nsubj	_	_
7	took	_	VBD	VBD	_	4	ccomp	_	_
8	a	_	DT	DT	_	9	quantmod	_	_
9	million	_	CD	CD	_	10	num	_	_
10	dollars	_	NNS	NNS	_	7	dobj	_	_
11	of	_	IN	IN	_	10	prep	_	_
12	my	_	PRP$	PRP$	_	13	poss	_	_
13	money	_	NN	NN	_	11	pobj	_	_
14	but	_	CC	CC	_	7	cc	_	_
15	did	_	VBD	VBD	_	17	aux	_	_
16	n't	_	RB	RB	_	17	neg	_	_
17	cut	_	VB	VB	_	7	conj	_	_
18	the	_	DT	DT	_	19	det	_	_
19	others	_	NNS	NNS	_	17	dobj	_	_
20	in	_	IN	IN	_	17	dep	_	_
21	.	_	.	.	_	4	punct	_	_

1	Perfect	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Greedy	_	NNP	NNP	_	2	nn	_	_
2	pigs	_	NNS	NNS	_	3	nsubj	_	_
3	backstabbing	_	VBG	VBG	_	0	null	_	_
4	their	_	PRP$	PRP$	_	6	poss	_	_
5	own	_	JJ	JJ	_	6	amod	_	_
6	kind	_	NN	NN	_	3	dobj	_	_
7	.	_	.	.	_	3	punct	_	_

1	So	_	RB	RB	_	10	advmod	_	_
2	if	_	IN	IN	_	6	mark	_	_
3	it	_	PRP	PRP	_	6	nsubj	_	_
4	was	_	VBD	VBD	_	6	cop	_	_
5	n't	_	RB	RB	_	6	neg	_	_
6	you	_	PRP	PRP	_	10	dep	_	_
7	...	_	:	:	_	10	punct	_	_
8	it	_	PRP	PRP	_	10	nsubj	_	_
9	was	_	VBD	VBD	_	10	cop	_	_
10	you	_	PRP	PRP	_	0	null	_	_
11	.	_	.	.	_	10	punct	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	null	_	_
3	a	_	DT	DT	_	4	det	_	_
4	problem	_	NN	NN	_	2	dobj	_	_
5	,	_	,	,	_	4	punct	_	_
6	Sarge	_	NNP	NNP	_	4	appos	_	_
7	.	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	'm	_	VBP	VBP	_	3	aux	_	_
3	gon	_	VBG	VBG	_	10	csubj	_	_
4	na	_	TO	TO	_	3	xcomp	_	_
5	assume	_	VB	VB	_	4	dep	_	_
6	your	_	PRP$	PRP$	_	7	poss	_	_
7	phones	_	NNS	NNS	_	5	pobj	_	_
8	are	_	VBP	VBP	_	10	cop	_	_
9	down	_	RB	RB	_	10	advmod	_	_
